iter	MultiClass
0	1.880005324
1	1.78641521
2	1.718424848
3	1.613834283
4	1.569719585
5	1.479224749
6	1.400995356
7	1.333500286
8	1.257069282
9	1.195648675
10	1.155640313
11	1.093516917
12	1.057371156
13	1.021613888
14	0.9774555949
15	0.928578016
16	0.8990750948
17	0.8661456524
18	0.836841137
19	0.7975894294
20	0.7789800933
21	0.7619618457
22	0.7408073173
23	0.71020046
24	0.6791506667
25	0.6576400303
26	0.6442705352
27	0.6172183868
28	0.5958777724
29	0.5797236201
30	0.5564310664
31	0.5344538965
32	0.5203288334
33	0.5019248588
34	0.4897284855
35	0.4714072063
36	0.455578771
37	0.4390516245
38	0.4290963709
39	0.4139374383
40	0.4052393456
41	0.3984486292
42	0.391888232
43	0.3785920539
44	0.3659473009
45	0.3549322294
46	0.3455275688
47	0.3379081514
48	0.3272038735
49	0.3169961467
50	0.3107061819
51	0.3016858243
52	0.2932355236
53	0.2870570997
54	0.2808906791
55	0.2727592522
56	0.2661376205
57	0.2586386387
58	0.2514571509
59	0.2445762626
60	0.2417768504
61	0.2357328827
62	0.2294932093
63	0.2235053065
64	0.2180548837
65	0.214626981
66	0.2095325872
67	0.2043291215
68	0.1995046375
69	0.1946856292
70	0.1913516611
71	0.1871821469
72	0.1828207764
73	0.1786186659
74	0.1745683547
75	0.1709668922
76	0.168474256
77	0.1647798956
78	0.1612141929
79	0.1580095446
80	0.1548561066
81	0.1519030878
82	0.1487738898
83	0.145748354
84	0.143054583
85	0.1402149712
86	0.1376433757
87	0.1349764544
88	0.1323936318
89	0.1300270616
90	0.1275976837
91	0.125242682
92	0.1229590598
93	0.1207439663
94	0.1185946881
95	0.116508642
96	0.1144833671
97	0.112642941
98	0.1107283991
99	0.1088680756
100	0.1070599295
101	0.1053020135
102	0.1035924682
103	0.1019295186
104	0.1003114686
105	0.09873669757
106	0.09720365636
107	0.09580734853
108	0.09435070004
109	0.09338399296
110	0.09198916621
111	0.09062979547
112	0.08935607472
113	0.08806277141
114	0.08680147522
115	0.08557111628
116	0.08437066873
117	0.08319914854
118	0.08205561157
119	0.08093915166
120	0.07984889883
121	0.07887359306
122	0.07783117466
123	0.07687771285
124	0.0758807105
125	0.07490616382
126	0.07395338302
127	0.07312626561
128	0.07236406052
129	0.071467036
130	0.07086508567
131	0.07000041789
132	0.06915422395
133	0.06832596274
134	0.06751511284
135	0.0667211717
136	0.06594365483
137	0.06521272651
138	0.06446606057
139	0.06373448336
140	0.06301757472
141	0.06235964887
142	0.06166994533
143	0.06099376177
144	0.060330732
145	0.05968050224
146	0.05904273064
147	0.05841708675
148	0.05780325111
149	0.05723964322
150	0.05664775056
151	0.05610471848
152	0.05553367761
153	0.05497303657
154	0.05442253204
155	0.05388190909
156	0.05335092083
157	0.05282932814
158	0.05231689936
159	0.05181341004
160	0.05135122061
161	0.05086437549
162	0.05038585177
163	0.04991545073
164	0.04945297964
165	0.04899825153
166	0.04858084186
167	0.04814054472
